Name,PointType,Units,Commandable
chillerEnable,BV,Status,Y
emergencyStop,BV,Status,N
isSIUnits,BV,Status,N
systemStartStop,BV,Status,N
chwp1Enable,BV,Status,N
chwp2Enable,BV,Status,N
cwp1Enable,BV,Status,N
cwp2Enable,BV,Status,N
chwp1Status,BV,Status,N
chwp2Status,BV,Status,N
cwp1Status,BV,Status,N
cwp2Status,BV,Status,N
chwp1Fault,BV,Status,N
chwp2Fault,BV,Status,N
cwp1Fault,BV,Status,N
cwp2Fault,BV,Status,N
coolingTowerEnable,BV,Status,N
coolingTowerStatus,BV,Status,N
coolingTowerFault,BV,Status,N
openIsolationValves,BV,Status,N
openCondenserWaterIsolationValve,BV,Status,N
openChilledWaterIsolationValve,BV,Status,N
chillerStatus,BV,Status,N
emergencyStopStatus,BV,Status,N
chillerFaultStatus,BV,Status,N
anyCompInFault,BV,Status,N
anyCompInLockout,BV,Status,N
evapFlowSwitchStatus,BV,Status,N
condFlowSwitchStatus,BV,Status,N
hpSwitchStatus,BV,Status,N
lpSwitchStatus,BV,Status,N
leakDetectorStatus,BV,Status,N
freezeStat,BV,Status,N
comp1Status,BV,Status,N
comp1EconomizerSolenoid,BV,Status,N
comp1isVTT,BV,Status,N
comp2Status,BV,Status,N
comp2EconomizerSolenoid,BV,Status,N
comp2isVTT,BV,Status,N
comp3Status,BV,Status,N
comp3EconomizerSolenoid,BV,Status,N
comp3isVTT,BV,Status,N
comp4Status,BV,Status,N
comp4EconomizerSolenoid,BV,Status,N
comp4isVTT,BV,Status,N
comp5Status,BV,Status,N
comp5EconomizerSolenoid,BV,Status,N
comp5isVTT,BV,Status,N
comp6Status,BV,Status,N
comp6EconomizerSolenoid,BV,Status,N
comp6isVTT,BV,Status,N
systemStartStopRead,BV,Status,N
chwp1EnableRead,BV,Status,N
chwp2EnableRead,BV,Status,N
cwp1EnableRead,BV,Status,N
cwp2EnableRead,BV,Status,N
chwp1StatusRead,BV,Status,N
chwp2StatusRead,BV,Status,N
cwp1StatusRead,BV,Status,N
cwp2StatusRead,BV,Status,N
chwp1FaultRead,BV,Status,N
